t,h_GR,h_model
1.1452863215803951e+01,5.4185544077535630e-01,5.4185544077535630e-01
1.1502875718929733e+01,5.4395544912098615e-01,5.4395544912098615e-01
1.1552888222055515e+01,5.4605205604633300e-01,5.4605205604633300e-01
1.1602900725181296e+01,5.4814524844105617e-01,5.4814524844105617e-01
1.1652913228307078e+01,5.5023501321616608e-01,5.5023501321616608e-01
1.1702925731432858e+01,5.5232133730410693e-01,5.5232133730410693e-01
1.1752938234558640e+01,5.5440420765883769e-01,5.5440420765883769e-01
1.1802950737684421e+01,5.5648361125591406e-01,5.5648361125591406e-01
1.1852963240810203e+01,5.5855953509256973e-01,5.5855953509256973e-01
1.1902975743935984e+01,5.6063196618779776e-01,5.6063196618779776e-01
1.1952988247061766e+01,5.6270089158243186e-01,5.6270089158243186e-01
1.2003000750187548e+01,5.6476629833922720e-01,5.6476629833922720e-01
1.2053013253313329e+01,5.6682817354294135e-01,5.6682817354294135e-01
1.2103025756439111e+01,5.6888650430041543e-01,5.6888650430041543e-01
1.2153038259564891e+01,5.7094127774065406e-01,5.7094127774065406e-01
1.2203050762690673e+01,5.7299248101490641e-01,5.7299248101490641e-01
1.2253063265816454e+01,5.7504010129674632e-01,5.7504010129674632e-01
1.2303075768942236e+01,5.7708412578215251e-01,5.7708412578215251e-01
1.2353088272068018e+01,5.7912454168958849e-01,5.7912454168958849e-01
1.2403100775193799e+01,5.8116133626008293e-01,5.8116133626008293e-01
1.2453113278319581e+01,5.8319449675730894e-01,5.8319449675730894e-01
1.2503125781445362e+01,5.8522401046766415e-01,5.8522401046766415e-01
1.2553138284571144e+01,5.8724986470034979e-01,5.8724986470034979e-01
1.2603150787696924e+01,5.8927204678745027e-01,5.8927204678745027e-01
1.2653163290822706e+01,5.9129054408401260e-01,5.9129054408401260e-01
1.2703175793948487e+01,5.9330534396812495e-01,5.9330534396812495e-01
1.2753188297074269e+01,5.9531643384099608e-01,5.9531643384099608e-01
1.2803200800200051e+01,5.9732380112703376e-01,5.9732380112703376e-01
1.2853213303325832e+01,5.9932743327392368e-01,5.9932743327392368e-01
1.2903225806451614e+01,6.0132731775270776e-01,6.0132731775270776e-01
1.2953238309577396e+01,6.0332344205786248e-01,6.0332344205786248e-01
1.3003250812703177e+01,6.0531579370737720e-01,6.0531579370737720e-01
1.3053263315828957e+01,6.0730436024283219e-01,6.0730436024283219e-01
1.3103275818954739e+01,6.0928912922947664e-01,6.0928912922947664e-01
1.3153288322080520e+01,6.1127008825630580e-01,6.1127008825630580e-01
1.3203300825206302e+01,6.1324722493613970e-01,6.1324722493613970e-01
1.3253313328332084e+01,6.1522052690569939e-01,6.1522052690569939e-01
1.3303325831457865e+01,6.1718998182568541e-01,6.1718998182568541e-01
1.3353338334583647e+01,6.1915557738085381e-01,6.1915557738085381e-01
1.3403350837709429e+01,6.2111730128009401e-01,6.2111730128009401e-01
1.3453363340835210e+01,6.2307514125650554e-01,6.2307514125650554e-01
1.3503375843960990e+01,6.2502908506747423e-01,6.2502908506747423e-01
1.3553388347086772e+01,6.2697912049474924e-01,6.2697912049474924e-01
1.3603400850212553e+01,6.2892523534451950e-01,6.2892523534451950e-01
1.3653413353338335e+01,6.3086741744748942e-01,6.3086741744748942e-01
1.3703425856464117e+01,6.3280565465895589e-01,6.3280565465895589e-01
1.3753438359589898e+01,6.3473993485888314e-01,6.3473993485888314e-01
1.3803450862715680e+01,6.3667024595197941e-01,6.3667024595197941e-01
1.3853463365841462e+01,6.3859657586777230e-01,6.3859657586777230e-01
1.3903475868967243e+01,6.4051891256068383e-01,6.4051891256068383e-01
1.3953488372093023e+01,6.4243724401010649e-01,6.4243724401010649e-01
1.4003500875218805e+01,6.4435155822047796e-01,6.4435155822047796e-01
1.4053513378344586e+01,6.4626184322135616e-01,6.4626184322135616e-01
1.4103525881470368e+01,6.4816808706749429e-01,6.4816808706749429e-01
1.4153538384596150e+01,6.5007027783891524e-01,6.5007027783891524e-01
1.4203550887721931e+01,6.5196840364098607e-01,6.5196840364098607e-01
1.4253563390847713e+01,6.5386245260449316e-01,6.5386245260449316e-01
1.4303575893973495e+01,6.5575241288571540e-01,6.5575241288571540e-01
1.4353588397099275e+01,6.5763827266649866e-01,6.5763827266649866e-01
1.4403600900225056e+01,6.5952002015433031e-01,6.5952002015433031e-01
1.4453613403350838e+01,6.6139764358241171e-01,6.6139764358241171e-01
1.4503625906476620e+01,6.6327113120973302e-01,6.6327113120973302e-01
1.4553638409602401e+01,6.6514047132114562e-01,6.6514047132114562e-01
1.4603650912728183e+01,6.6700565222743613e-01,6.6700565222743613e-01
1.4653663415853964e+01,6.6886666226539904e-01,6.6886666226539904e-01
1.4703675918979746e+01,6.7072348979790986e-01,6.7072348979790986e-01
1.4753688422105528e+01,6.7257612321399773e-01,6.7257612321399773e-01
1.4803700925231308e+01,6.7442455092891829e-01,6.7442455092891829e-01
1.4853713428357089e+01,6.7626876138422587e-01,6.7626876138422587e-01
1.4903725931482871e+01,6.7810874304784574e-01,6.7810874304784574e-01
